response,freq,HS,activity,logRT,logPrej,pid,trial,patchnum,numwithinpatch,switchornot,cue_transitions,patchnum2,numwithinpatch2
deer,8.729307,13.1896105,-0.22081327,1.09894556645823,-0.61522526,15,28,14,2,1,0.0,19,0
giraffe,7.0409007,12.881538,1.7233582,3.218915824068222,-1.8949223,15,29,15,1,0,0.0,20,0
fish,9.652773,11.4408865,0.4094454,0.0009995003330834232,-1.7594746,16,2,1,3,1,,0,0
monkey,8.25998,11.97632,1.4139525,1.09894556645823,-3.9215636,16,3,2,1,1,0.0,1,0
cow,8.763902,12.996189,-0.64451075,0.0009995003330834232,-3.0715575,16,4,3,1,1,0.0,2,0
hippopotamus,6.933396,12.142754,1.1898401,0.6936470556015963,-1.5217824,16,5,4,1,1,0.0,3,0
pig,8.733592,12.113568,-0.43317556,0.6936470556015963,-2.5060105,16,6,5,1,0,0.0,4,0
hog,8.190234,15.269457,-1.4518061,0.6936470556015963,-1.2050736,16,7,5,2,1,1.0,5,0
squirrel,7.886292,13.344329,0.20738745,1.9460529959950605,-1.0821977,16,8,6,1,0,2.0,6,0
dolphin,7.705347,11.53501,1.1312795,2.079566533867987,-1.9922427,16,9,7,1,0,0.0,7,0
sanddollar,3.801161,13.443896,-2.626268,0.0009995003330834232,-2.7512174,16,10,7,2,1,1.0,8,0
snake,8.501285,12.640869,1.0691586,1.09894556645823,-1.7669268,16,11,8,1,1,2.0,9,0
snail,7.6996565,14.402268,-0.43138158,0.0009995003330834232,-2.9780486,16,12,9,1,0,1.0,10,0
slug,7.491615,14.296717,-1.4812838,0.0009995003330834232,-1.1309798,16,13,9,2,1,3.0,10,1
raccoon,7.2334986,12.647989,-0.14996529,1.09894556645823,-1.1949803,16,14,10,1,0,2.0,11,0
chipmunk,6.6536546,14.907495,1.1690071,0.6936470556015963,-1.369372,16,15,10,2,0,0.0,12,0
skunk,7.2660403,14.772698,-1.2435367,0.6936470556015963,-1.3957127,16,16,10,3,1,1.0,13,0
kangaroo,7.437985,13.467464,1.2155612,1.09894556645823,-1.1004989,16,17,11,1,0,2.0,14,0
koala,6.4397144,13.437871,1.880491,1.9460529959950605,-2.1113548,16,18,11,2,1,0.0,15,0
ferret,7.2498455,11.750063,-0.36220145,2.079566533867987,-2.127554,16,19,12,1,1,0.0,16,0
tiger,8.281227,13.109101,0.58249664,2.079566533867987,-1.0956327,16,20,13,1,0,0.0,17,0
lion,8.663146,15.957723,1.1276553,0.6936470556015963,-1.8801847,16,21,13,2,1,1.0,18,0
bear,9.4697275,14.451857,-0.5030153,0.6936470556015963,-1.5203767,16,22,14,1,1,2.0,19,0
cheetah,6.6782866,13.444918,1.2123458,1.3865443298750981,-1.1606622,16,23,15,1,1,0.0,20,0
polar bear,6.879763,12.524276,0.9793277,1.3865443298750981,-0.6773834,16,24,16,1,0,0.0,21,0
brown bear,6.5432096,14.683641,-0.8051107,1.3865443298750981,-1.1476719,16,25,16,2,0,1.0,22,0
jack rabbit,5.9875073,13.873459,-1.7805357,3.2581349988203177,-0.59231246,16,26,16,3,0,3.0,22,1
rabbit,8.530918,14.2330475,-0.7450187,0.6936470556015963,-1.0257224,16,27,16,4,0,2.0,23,0
bunny,7.4416757,16.335947,-0.41341448,0.0009995003330834232,-0.92017454,16,28,16,5,1,1.0,24,0
penguin,8.166074,11.320988,0.13859695,1.3865443298750981,-0.6917567,16,29,17,1,1,2.0,25,0
iguana,6.706117,12.659767,0.07733297,1.3865443298750981,-1.4790409,16,30,18,1,0,0.0,26,0
lizard,7.679484,14.044659,0.4991113,0.0009995003330834232,-1.0040681,16,31,18,2,1,0.0,27,0
mosquito,8.023557,11.444147,-1.824149,0.6936470556015963,-1.2953598,16,32,19,1,0,0.0,28,0
bee,8.562807,13.708208,0.28857517,0.6936470556015963,-2.1385922,16,33,19,2,0,1.0,29,0
wasp,7.538631,14.311286,-0.91664565,1.3865443298750981,-2.4426641,16,34,19,3,0,3.0,29,1
ant,8.35485,14.297508,-0.28870797,1.09894556645823,-1.2136997,16,35,19,4,1,3.0,29,2
rattlesnake,7.2707524,12.235825,-1.5060878,1.9460529959950605,-1.5374825,16,36,20,1,1,3.0,29,3
ostrich,7.4367714,12.025908,-1.7866931,0.6936470556015963,-0.6213122,16,37,21,1,0,2.0,30,0
lemur,6.489341,12.433778,-0.032194495,1.7919261220073759,-1.1128749,16,38,21,2,1,0.0,31,0
emu,7.398371,13.04927,-0.08142197,1.7919261220073759,-0.75723857,16,39,22,1,1,0.0,32,0
shark,7.8841987,12.163692,0.611025,1.09894556645823,-1.054371,16,40,23,1,0,0.0,33,0
clownfish,5.323735,14.037303,-0.01020813,0.6936470556015963,-1.4320867,16,41,23,2,0,0.0,34,0
catfish,7.549231,13.069654,-1.2627717,1.09894556645823,-0.9217615,16,42,23,3,1,1.0,35,0
tarantula,6.483608,12.841839,-1.2109628,1.3865443298750981,-0.9007652,16,43,24,1,1,3.0,35,1
spider,8.1268215,15.295338,0.06374037,0.6936470556015963,-1.0136302,16,44,25,1,0,3.0,35,2
turtle,8.067716,11.307871,0.9358722,1.7919261220073759,-1.3267757,16,45,25,2,0,2.0,36,0
parakeet,6.3692183,10.059048,-1.2134967,0.6936470556015963,-1.6029305,16,46,25,3,0,0.0,37,0
lizard,7.679484,13.020966,0.4991113,0.6936470556015963,-4.244142,17,2,1,3,0,,0,0
fish,9.652773,12.0324745,0.4094454,1.09894556645823,-3.217249,17,3,1,4,1,2.0,1,0
lion,8.663146,11.285595,1.1276553,1.09894556645823,-3.866997,17,4,2,1,0,0.0,2,0
giraffe,7.0409007,14.160519,1.7233582,1.6096378924367667,-3.9333405,17,5,2,2,0,0.0,3,0
zebra,7.33688,15.0552025,1.0181093,1.09894556645823,-2.203696,17,6,2,3,0,0.0,4,0
elephant,8.278831,14.61739,0.5827914,1.09894556645823,-1.7017226,17,7,2,4,1,1.0,5,0
whale,8.224764,13.233376,0.87034935,1.3865443298750981,-1.4780074,17,8,3,1,1,2.0,6,0
fly,9.043542,10.395407,-1.1954408,1.09894556645823,-2.3313475,17,9,4,1,0,0.0,7,0
bee,8.562807,14.271242,0.28857517,1.09894556645823,-2.659347,17,10,4,2,0,1.0,8,0
worm,8.385086,11.699525,-1.1592584,1.3865443298750981,-2.544398,17,11,4,3,1,2.0,9,0
snake,8.501285,14.164789,1.0691586,1.3865443298750981,-1.7750063,17,12,5,1,1,1.0,10,0
kangaroo,7.437985,11.593761,1.2155612,1.7919261220073759,-2.4416673,17,13,6,1,1,2.0,11,0
bear,9.4697275,12.982462,-0.5030153,0.6936470556015963,-1.7387486,17,14,7,1,1,0.0,12,0
tiger,8.281227,15.455345,0.58249664,0.6936470556015963,-1.6719487,17,15,8,1,0,1.0,13,0
leopard,7.6562376,15.12919,0.39975286,1.09894556645823,-0.81405187,17,16,8,2,1,3.0,13,1
hawk,8.229741,13.377058,-1.5486708,2.1973356822749484,-0.96411353,17,17,9,1,0,2.0,14,0
blue jay,6.4708285,14.787954,-2.310217,0.6936470556015963,-1.7556967,17,18,9,2,0,1.0,15,0
robin,8.414458,15.113188,-1.7855048,1.3865443298750981,-1.8404479,17,19,9,3,1,3.0,15,1
crocodile,7.534795,11.116685,1.2002896,2.7726512202867375,-1.8430177,17,20,10,1,1,2.0,16,0
monkey,8.25998,11.053284,1.4139525,2.1973356822749484,-1.9019816,17,21,11,1,0,0.0,17,0
gorilla,7.3137183,14.176,0.44351846,1.09894556645823,-2.066365,17,22,11,2,1,1.0,18,0
koala,6.4397144,11.53066,1.880491,2.944491609360395,-1.031432,17,23,12,1,1,2.0,19,0
panther,7.5974145,13.054393,-0.106794,2.1973356822749484,-1.7009919,17,24,13,1,0,0.0,20,0
cougar,6.95645,15.548525,-0.3199916,1.7919261220073759,-0.63905156,17,25,13,2,1,1.0,21,0
dolphin,7.705347,11.965605,1.1312795,2.3026850879943788,-0.58795583,17,26,14,1,1,2.0,22,0
horse,9.460777,12.253395,-0.51891565,2.3026850879943788,-1.2044907,17,27,15,1,0,0.0,23,0
donkey,7.790762,14.823978,-1.4337559,0.0009995003330834232,-1.48663,17,28,15,2,0,1.0,24,0
pig,8.733592,14.444153,-0.43317556,1.3865443298750981,-0.830274,17,29,15,3,0,3.0,24,1
sheep,9.106964,14.698289,-1.2447839,1.3865443298750981,-0.94750684,17,30,15,4,0,3.0,24,2
chicken,8.703944,14.209078,-0.36407304,1.6096378924367667,-1.0251566,17,31,15,5,1,2.0,25,0
frog,8.163962,11.035401,0.74017715,2.833272165855592,-1.001821,17,32,16,1,0,0.0,26,0
tiger,8.281227,14.408332,0.58249664,0.0009995003330834232,-1.7594746,18,2,1,3,0,,0,0
lion,8.663146,15.957723,1.1276553,0.6936470556015963,-2.382066,18,3,1,4,1,3.0,0,1
wolf,8.697056,12.431095,-1.0423151,1.09894556645823,-1.7448475,18,4,2,1,0,2.0,1,0
bear,9.4697275,14.317727,-0.5030153,0.0009995003330834232,-0.9127877,18,5,2,2,1,0.0,2,0
turtle,8.067716,12.126099,0.9358722,1.09894556645823,-1.4725486,18,6,3,1,1,0.0,3,0
monkey,8.25998,11.21792,1.4139525,1.3865443298750981,-3.0997438,18,7,4,1,0,0.0,4,0
giraffe,7.0409007,13.176134,1.7233582,2.3979861777572986,-2.5546827,18,8,4,2,0,0.0,5,0
hippopotamus,6.933396,14.030161,1.1898401,1.09894556645823,-1.7240753,18,9,4,3,1,0.0,6,0
panda,7.0408387,13.176054,0.0382514,1.6096378924367667,-1.3813778,18,10,5,1,1,0.0,7,0
great white shark,5.665837,11.501592,-1.5248665,1.6096378924367667,-1.2958215,18,11,6,1,1,0.0,8,0
polar bear,6.879763,12.408877,0.9793277,0.6936470556015963,-3.1145449,18,12,7,1,1,0.0,9,0
elephant,8.278831,13.833775,0.5827914,1.3865443298750981,-1.2393587,18,13,8,1,1,0.0,10,0
platypus,6.426489,11.911261,1.3545604,1.3865443298750981,-1.200845,18,14,9,1,1,0.0,11,0
bunny,7.4416757,10.977511,-0.41341448,2.3026850879943788,-1.8815615,18,15,10,1,1,0.0,12,0
snake,8.501285,12.993834,1.0691586,1.9460529959950605,-1.1858401,18,16,11,1,1,0.0,13,0
stingray,6.2277017,12.972134,-1.5637319,1.6096378924367667,-2.648466,18,17,12,1,0,1.0,14,0
jellyfish,6.856433,15.4508915,-1.6683452,1.3865443298750981,-2.1642847,18,18,12,2,1,3.0,14,1
cheetah,6.6782866,11.2728195,1.2123458,1.7919261220073759,-2.0629802,18,19,13,1,0,2.0,15,0
leopard,7.6562376,15.385563,0.39975286,1.9460529959950605,-0.721113,18,20,13,2,0,1.0,16,0
meerkat,5.4104195,13.438636,-0.47309577,1.09894556645823,-0.6650965,18,21,13,3,1,2.0,17,0
eagle,8.609032,12.499785,-1.903922,0.6936470556015963,-0.8344872,18,22,14,1,0,0.0,18,0
penguin,8.166074,12.613157,0.13859695,2.3026850879943788,-1.545393,18,23,14,2,1,0.0,19,0
mouse,8.734669,11.367092,0.2110622,1.3865443298750981,-1.3682553,18,24,15,1,0,0.0,20,0
rat,8.843021,15.928724,-0.05801153,1.6096378924367667,-1.8201944,18,25,15,2,1,1.0,21,0
toucan,6.079373,11.364355,-0.79710174,2.5650262775800314,-0.9106171,18,26,16,1,0,2.0,22,0
pelican,7.396815,12.602648,-1.5400124,0.6936470556015963,-1.4134979,18,27,16,2,1,0.0,23,0
dolphin,7.705347,13.072924,1.1312795,0.6936470556015963,-1.4544342,18,28,17,1,0,0.0,24,0
sea monkey,4.0343156,11.397575,0.028993368,1.3865443298750981,-2.3375525,18,29,17,2,0,0.0,25,0
whale,8.224764,12.173311,0.87034935,2.7726512202867375,-1.8659198,18,30,17,3,0,0.0,26,0
eel,7.6734543,13.591927,-2.610176,3.3322402238231783,-1.5101473,18,31,17,4,0,1.0,27,0
cat,8.985515,12.365378,0.870857,0.6936470556015963,-5.762521,19,2,3,1,0,,0,0
dog,9.247131,14.325035,1.5745795,1.09894556645823,-5.4119453,19,3,3,2,1,0.0,1,0
pig,8.733592,14.051149,-0.43317556,1.09894556645823,-3.1813211,19,4,4,1,0,1.0,2,0
horse,9.460777,14.91022,-0.51891565,1.09894556645823,-1.5036119,19,5,4,2,1,3.0,2,1
fish,9.652773,12.002134,0.4094454,0.6936470556015963,-1.738486,19,6,5,1,0,2.0,3,0
turtle,8.067716,12.203395,0.9358722,0.6936470556015963,-3.6417036,19,7,5,2,0,0.0,4,0
dolphin,7.705347,12.277095,1.1312795,1.7919261220073759,-2.8191533,19,8,5,3,0,0.0,5,0
whale,8.224764,15.366442,0.87034935,1.3865443298750981,-2.70582,19,9,5,4,0,1.0,6,0
shark,7.8841987,15.465992,0.611025,1.09894556645823,-1.6966628,19,10,5,5,0,3.0,6,1
blowfish,5.6698985,14.527575,-0.95639527,1.9460529959950605,-1.0959338,19,11,5,6,1,3.0,6,2
alligator,7.4510283,12.294129,1.1975237,2.833272165855592,-0.88120127,19,12,6,1,0,2.0,7,0
crocodile,7.534795,15.438948,1.2002896,1.7919261220073759,-2.236197,19,13,6,2,1,1.0,8,0
goat,8.287556,10.776708,-1.4169083,2.7726512202867375,-1.3587568,19,14,7,1,0,2.0,9,0
sheep,9.106964,15.587339,-1.2447839,1.09894556645823,-0.955469,19,15,7,2,1,1.0,10,0
wolf,8.697056,12.299814,-1.0423151,0.6936470556015963,-1.1698973,19,16,8,1,0,2.0,11,0
coyote,7.6454744,15.938211,-1.4244925,1.7919261220073759,-0.88086236,19,17,8,2,1,1.0,12,0
hamster,7.4689918,12.051169,0.8201952,2.639128755635788,-0.60584223,19,18,9,1,1,2.0,13,0
opossum,6.9351535,12.149446,-0.14806485,1.9460529959950605,-1.6720474,19,19,10,1,1,0.0,14,0
tiger,8.281227,12.378479,0.58249664,3.3322402238231783,-1.852045,19,20,11,1,0,0.0,15,0
lion,8.663146,15.957723,1.1276553,0.6936470556015963,-2.0338874,19,21,11,2,0,1.0,16,0
elephant,8.278831,14.317562,0.5827914,1.09894556645823,-1.604392,19,22,11,3,1,2.0,17,0
bear,9.4697275,14.249771,-0.5030153,1.09894556645823,-1.3918706,19,23,12,1,1,0.0,18,0
octopus,7.2867985,12.28596,0.46494746,1.7919261220073759,-1.1168728,19,24,13,1,0,0.0,19,0
squid,7.505342,14.860473,-1.3418002,1.09894556645823,-1.0983801,19,25,13,2,0,1.0,20,0
penguin,8.166074,12.437093,0.13859695,1.7919261220073759,-0.66506267,19,26,13,3,1,2.0,21,0
leopard,7.6562376,12.076188,0.39975286,2.3026850879943788,-1.383209,19,27,14,1,0,0.0,22,0
zebra,7.33688,12.886016,1.0181093,1.3865443298750981,-0.81121206,19,28,14,2,1,0.0,23,0
snake,8.501285,12.061943,1.0691586,0.6936470556015963,-1.2216915,19,29,15,1,0,0.0,24,0
snake,8.501285,11.45197,1.0691586,0.6936470556015963,-1.7594746,20,2,1,3,0,,0,0
spider,8.1268215,13.009233,0.06374037,0.6936470556015963,-4.2195973,20,3,1,4,1,0.0,1,0
goat,8.287556,11.628471,-1.4169083,0.6936470556015963,-2.7491117,20,4,2,1,0,0.0,2,0
cow,8.763902,15.293651,-0.64451075,0.0009995003330834232,-1.3154595,20,5,2,2,0,1.0,3,0
horse,9.460777,15.285967,-0.51891565,1.09894556645823,-1.564697,20,6,2,3,1,2.0,4,0
lizard,7.679484,11.626089,0.4991113,1.09894556645823,-1.645117,20,7,3,1,1,0.0,5,0
ladybug,6.102893,11.505247,-1.6623473,1.09894556645823,-1.9524394,20,8,4,1,1,0.0,6,0
pig,8.733592,10.90232,-0.43317556,1.09894556645823,-2.315515,20,9,5,1,1,0.0,7,0
fish,9.652773,12.126174,0.4094454,0.6936470556015963,-1.0673338,20,10,6,1,0,0.0,8,0
whale,8.224764,13.322374,0.87034935,2.4849899796493045,-3.3097193,20,11,6,2,0,0.0,9,0
dolphin,7.705347,15.366442,1.1312795,1.09894556645823,-2.6239147,20,12,6,3,0,1.0,10,0
seal,9.017472,14.74158,-1.4291961,1.9460529959950605,-1.3930292,20,13,6,4,0,3.0,10,1
polar bear,6.879763,14.346498,0.9793277,2.079566533867987,-1.3244241,20,14,6,5,0,2.0,11,0
grizzly,7.461551,14.739552,-0.4407581,1.6096378924367667,-1.8796304,20,15,6,6,1,1.0,12,0
penguin,8.166074,12.994495,0.13859695,1.09894556645823,-2.0840135,20,16,7,1,0,2.0,13,0
starfish,7.0114336,11.834663,-0.9525354,1.3865443298750981,-1.9299874,20,17,7,2,1,0.0,14,0
monkey,8.25998,10.662418,1.4139525,1.3865443298750981,-1.3680594,20,18,8,1,0,0.0,15,0
giraffe,7.0409007,13.176134,1.7233582,0.6936470556015963,-2.5381892,20,19,8,2,0,0.0,16,0
zebra,7.33688,15.0552025,1.0181093,1.3865443298750981,-1.9576724,20,20,8,3,0,0.0,17,0
lion,8.663146,13.404592,1.1276553,0.0009995003330834232,-1.2289921,20,21,8,4,0,0.0,18,0
cheetah,6.6782866,14.826922,1.2123458,0.6936470556015963,-2.143955,20,22,8,5,0,0.0,19,0
leopard,7.6562376,15.385563,0.39975286,1.6096378924367667,-0.8990586,20,23,8,6,0,1.0,20,0
panther,7.5974145,15.79803,-0.106794,1.09894556645823,-0.9180496,20,24,8,7,1,3.0,20,1
kangaroo,7.437985,12.467628,1.2155612,1.7919261220073759,-0.7682794,20,25,9,1,1,2.0,21,0
deer,8.729307,12.676353,-0.22081327,0.6936470556015963,-1.4600816,20,26,10,1,0,0.0,22,0
raccoon,7.2334986,13.6433525,-0.14996529,1.09894556645823,-1.6656163,20,27,10,2,1,0.0,23,0
possum,6.9892597,14.933136,0.33384502,0.6936470556015963,-1.0087835,20,28,11,1,1,1.0,24,0
coyote,7.6454744,13.383549,-1.4244925,2.4849899796493045,-1.123143,20,29,12,1,0,2.0,25,0
fox,8.901891,15.21207,-1.256597,1.3865443298750981,-0.55678,20,30,12,2,1,1.0,26,0
gazelle,7.1171856,13.435406,-0.03973782,1.9460529959950605,-0.77317935,20,31,13,1,1,3.0,26,1
pony,7.9533544,12.696564,-1.4983912,2.079566533867987,-0.78653145,20,32,14,1,0,2.0,27,0
camel,7.979525,14.5700245,-0.99439037,1.3865443298750981,-0.68781626,20,33,14,2,1,1.0,28,0
hamster,7.4689918,13.264698,0.8201952,1.3865443298750981,-0.6099261,20,34,15,1,0,2.0,29,0
gerbil,6.3419065,14.926446,1.1986861,1.3865443298750981,-1.4481033,20,35,15,2,0,1.0,30,0
mouse,8.734669,14.040016,0.2110622,1.6096378924367667,-1.127698,20,36,15,3,0,3.0,30,1
rat,8.843021,15.928724,-0.05801153,0.0009995003330834232,-1.4611411,20,37,15,4,1,3.0,30,2
eel,7.6734543,10.451748,-2.610176,0.6936470556015963,-0.69931525,20,38,16,1,1,2.0,31,0
tarantula,6.483608,12.409566,-1.2109628,2.079566533867987,-0.92229533,20,39,17,1,1,0.0,32,0
groundhog,6.338394,12.615738,-0.7773843,2.944491609360395,-0.826035,20,40,18,1,0,1.0,33,0
gopher,7.1809707,15.532776,-1.2073702,0.6936470556015963,-0.8751342,20,41,18,2,0,3.0,33,1
bat,8.329255,12.365378,-0.6104733,0.6936470556015963,-1.7594746,21,2,2,1,1,,0,0
rat,8.843021,12.435924,-0.05801153,0.6936470556015963,-2.669082,21,3,3,1,0,0.0,1,0
mouse,8.734669,15.928724,0.2110622,0.0009995003330834232,-2.0612688,21,4,3,2,1,1.0,2,0
deer,8.729307,11.818071,-0.22081327,1.3865443298750981,-1.2654606,21,5,4,1,0,2.0,3,0
bear,9.4697275,13.294271,-0.5030153,0.6936470556015963,-3.0174313,21,6,4,2,1,0.0,4,0
lion,8.663146,14.451857,1.1276553,1.6096378924367667,-2.4853764,21,7,5,1,0,0.0,5,0
tiger,8.281227,15.957723,0.58249664,0.6936470556015963,-2.4386322,21,8,5,2,1,1.0,6,0
whale,8.224764,12.299435,0.87034935,0.6936470556015963,-0.7564867,21,9,6,1,1,2.0,7,0
monkey,8.25998,11.033127,1.4139525,1.09894556645823,-3.2160242,21,10,7,1,0,0.0,8,0
giraffe,7.0409007,13.176134,1.7233582,1.7919261220073759,-2.3933406,21,11,7,2,0,0.0,9,0
hippopotamus,6.933396,14.030161,1.1898401,1.09894556645823,-1.6128823,21,12,7,3,1,0.0,10,0
guinea pig,7.5533867,11.110811,0.65618944,2.3026850879943788,-1.2831613,21,13,8,1,1,0.0,11,0
pig,8.733592,13.277506,-0.43317556,0.6936470556015963,-1.3185258,21,14,9,1,0,0.0,12,0
horse,9.460777,14.91022,-0.51891565,0.6936470556015963,-1.1298361,21,15,9,2,0,1.0,13,0
goat,8.287556,14.831751,-1.4169083,1.09894556645823,-1.3714693,21,16,9,3,0,3.0,13,1
cow,8.763902,15.293651,-0.64451075,1.09894556645823,-0.7729068,21,17,9,4,1,3.0,13,2
bull,9.068536,15.770885,-2.0570266,0.6936470556015963,-0.80488145,21,18,10,1,1,3.0,13,3
sheep,9.106964,15.09318,-1.2447839,1.3865443298750981,-0.7404027,21,19,11,1,0,3.0,13,4
chicken,8.703944,14.209078,-0.36407304,0.6936470556015963,-0.7724279,21,20,11,2,1,2.0,14,0
elk,8.115869,11.901674,-0.5356877,2.1973356822749484,-0.8710723,21,21,12,1,1,0.0,15,0
lizard,7.679484,10.987501,0.4991113,1.3865443298750981,-0.9903669,21,22,13,1,1,0.0,16,0
coyote,7.6454744,12.208075,-1.4244925,2.7081168655467533,-1.9254415,21,23,14,1,1,0.0,17,0
frog,8.163962,11.164978,0.74017715,1.3865443298750981,-0.5478313,21,24,15,1,0,0.0,18,0
ferret,7.2498455,12.038494,-0.36220145,2.079566533867987,-2.305426,21,25,15,2,1,0.0,19,0
bunny,7.4416757,14.585823,-0.41341448,0.6936470556015963,-0.63012505,21,26,16,1,1,1.0,20,0
squirrel,7.886292,13.956369,0.20738745,1.09894556645823,-0.68801904,21,27,17,1,0,2.0,21,0
chipmunk,6.6536546,15.877527,1.1690071,1.7919261220073759,-1.0530304,21,28,17,2,1,1.0,22,0
bird,9.1650715,13.011678,0.64898264,0.6936470556015963,-0.7845056,21,29,18,1,1,2.0,23,0
donkey,7.790762,11.696873,-1.4337559,2.3979861777572986,-2.119635,21,30,19,1,1,0.0,24,0
walrus,7.1177874,11.604561,0.24954772,1.7919261220073759,-0.5474496,21,31,20,1,1,0.0,25,0
ostrich,7.4367714,11.829786,-1.7866931,1.3865443298750981,-1.2644588,21,32,21,1,0,0.0,26,0
ape,7.7708087,12.209453,-0.8238075,1.7919261220073759,-0.93295527,21,33,21,2,1,0.0,27,0
llama,6.863565,12.797809,-0.48476982,1.9460529959950605,-0.6638931,21,34,22,1,1,0.0,28,0
buffalo,8.841423,14.345961,-1.7932403,1.7919261220073759,-0.46406257,21,35,23,1,1,0.0,29,0
alligator,7.4510283,11.170618,1.1975237,2.4849899796493045,-0.6369935,21,36,24,1,1,0.0,30,0
duck,8.351821,12.195684,-0.6875971,1.7919261220073759,-1.5955286,21,37,25,1,0,0.0,31,0
rooster,7.276048,14.983299,-1.0692179,1.09894556645823,-0.73369277,21,38,25,2,0,1.0,32,0
dog,9.247131,14.325035,1.5745795,0.6936470556015963,-5.167754,22,2,2,2,0,,0,0
snake,8.501285,10.840289,1.0691586,0.0009995003330834232,-3.0804791,22,3,2,3,1,0.0,1,0
monkey,8.25998,11.802048,1.4139525,1.09894556645823,-4.1039333,22,4,3,1,1,0.0,2,0
kangaroo,7.437985,11.753673,1.2155612,1.6096378924367667,-3.0638428,22,5,4,1,1,0.0,3,0
fish,9.652773,11.283817,0.4094454,1.09894556645823,-2.5026014,22,6,5,1,0,0.0,4,0
salmon,8.706235,14.502941,-2.3954287,0.6936470556015963,-3.3051798,22,7,5,2,1,1.0,5,0
elephant,8.278831,12.29668,0.5827914,2.079566533867987,-1.1540347,22,8,6,1,0,2.0,6,0
lion,8.663146,14.317562,1.1276553,0.6936470556015963,-2.1186848,22,9,6,2,0,0.0,7,0
tiger,8.281227,15.957723,0.58249664,0.6936470556015963,-2.322009,22,10,6,3,1,1.0,8,0
bear,9.4697275,15.455345,-0.5030153,0.0009995003330834232,-0.8519769,22,11,7,1,1,3.0,8,1
eagle,8.609032,13.830259,-1.903922,0.6936470556015963,-1.2514564,22,12,8,1,0,2.0,9,0
robin,8.414458,14.729571,-1.7855048,0.6936470556015963,-1.7194444,22,13,8,2,1,1.0,10,0
panda,7.0408387,12.095442,0.0382514,2.1973356822749484,-1.7843409,22,14,9,1,1,2.0,11,0
pigeon,8.01205,10.843636,-1.1200333,1.9460529959950605,-1.210506,22,15,10,1,1,0.0,12,0
boar,7.84996,12.683397,-0.9777014,1.9460529959950605,-1.2673519,22,16,11,1,1,0.0,13,0
goat,8.287556,14.082188,-1.4169083,0.6936470556015963,-0.9571605,22,17,12,1,0,1.0,14,0
sheep,9.106964,15.587339,-1.2447839,0.0009995003330834232,-0.9263773,22,18,12,2,0,3.0,14,1
horse,9.460777,15.120814,-0.51891565,0.6936470556015963,-1.2893839,22,19,12,3,0,2.0,15,0
pony,7.9533544,15.423835,-1.4983912,0.6936470556015963,-1.2172385,22,20,12,4,1,1.0,16,0
giraffe,7.0409007,13.3649845,1.7233582,2.1973356822749484,-0.7205504,22,21,13,1,0,2.0,17,0
ostrich,7.4367714,14.134605,-1.7866931,1.6096378924367667,-1.1005119,22,22,13,2,1,1.0,18,0
lamb,8.637704,13.022096,-3.2459736,2.3026850879943788,-0.87038684,22,23,14,1,0,2.0,19,0
llama,6.863565,14.665933,-0.48476982,1.09894556645823,-0.7705394,22,24,14,2,1,1.0,20,0
whale,8.224764,12.06986,0.87034935,2.3026850879943788,-0.64100623,22,25,16,1,0,2.0,21,0
dolphin,7.705347,15.366442,1.1312795,1.09894556645823,-1.99201,22,26,16,2,0,1.0,22,0
squid,7.505342,14.107818,-1.3418002,1.3865443298750981,-1.1976262,22,27,16,3,1,3.0,22,1
kitten,7.527818,10.950611,-1.8928915,2.079566533867987,-0.9391861,22,28,17,1,1,2.0,23,0
zebra,7.33688,12.1540985,1.0181093,0.6936470556015963,-0.6200074,22,29,18,1,1,0.0,24,0
dove,8.13397,12.1107235,-0.8567791,1.9460529959950605,-0.8540503,22,30,19,1,1,0.0,25,0
jaguar,7.385849,11.440301,-0.3604108,2.3979861777572986,-1.2727246,22,31,20,1,0,0.0,26,0
cheetah,6.6782866,14.279139,1.2123458,1.09894556645823,-0.47306263,22,32,20,2,1,0.0,27,0
cricket,8.040471,12.068386,-2.0263002,1.9460529959950605,-0.6359501,22,33,21,1,1,0.0,28,0
spider,8.1268215,13.707754,0.06374037,0.6936470556015963,-1.2165956,22,34,22,1,1,1.0,29,0
flamingo,6.8980737,10.879584,-0.45277113,2.995782272304033,-1.7784023,22,35,23,1,0,2.0,30,0
zebra,7.33688,11.573334,1.0181093,1.09894556645823,-4.4553037,23,2,3,1,0,,0,0
leopard,7.6562376,12.886016,0.39975286,0.0009995003330834232,-3.8628254,23,3,3,2,0,0.0,1,0
lion,8.663146,14.720525,1.1276553,1.09894556645823,-3.0385046,23,4,3,3,0,0.0,2,0
gorilla,7.3137183,12.913141,0.44351846,0.0009995003330834232,-2.8524117,23,5,3,4,0,0.0,3,0
snow monkey,4.0635185,14.283983,0.67016405,1.09894556645823,-2.3701468,23,6,3,5,1,1.0,4,0
alligator,7.4510283,10.299081,1.1975237,1.3865443298750981,-2.1897762,23,7,4,1,0,2.0,5,0
crocodile,7.534795,15.438948,1.2002896,1.09894556645823,-2.9394364,23,8,4,2,1,1.0,6,0
polar bear,6.879763,13.50685,0.9793277,1.7919261220073759,-1.5936694,23,9,5,1,0,2.0,7,0
grizzly,7.461551,14.739552,-0.4407581,2.079566533867987,-1.6668918,23,10,5,2,1,1.0,8,0
