response,freq,HS,activity,logRT,logPrej,pid,trial,patchnum,numwithinpatch,switchornot,cue_transitions,patchnum2,numwithinpatch2
badger,7.696013,15.813591,-3.1732087,1.7919261220073759,-1.7627592,1,26,14,2,1,3.0,20,1
tiger,8.281227,14.430216,0.58249664,1.09894556645823,-1.5737286,1,27,15,1,1,2.0,21,0
bronco,6.6927915,12.819448,-1.8035917,1.6096378924367667,-2.4116287,1,28,16,1,1,1.0,22,0
hare,8.275124,13.7238865,-1.8670738,1.6096378924367667,-1.3953881,1,29,17,1,1,2.0,23,0
turtle,8.067716,12.805708,0.9358722,1.3865443298750981,-1.2572341,1,30,18,1,0,0.0,24,0
crab,8.06861,11.962271,0.1938008,1.7919261220073759,-2.1227043,1,31,18,2,0,0.0,25,0
fish,9.652773,12.342373,0.4094454,1.09894556645823,-2.0124145,1,32,18,3,1,0.0,26,0
blue gill,4.8621206,14.144602,-1.9295422,1.9460529959950605,-2.8893266,1,33,19,1,1,1.0,27,0
mantaray,3.8962972,13.54481,-0.3944782,1.09894556645823,-0.94023603,1,34,20,1,1,3.0,27,1
caribou,7.554799,12.0924225,-0.6458771,1.9460529959950605,-1.1936979,1,35,22,1,0,2.0,28,0
polar bear,6.879763,12.988821,0.9793277,2.079566533867987,-1.0976697,1,36,22,2,0,0.0,29,0
mouse,8.734669,13.174165,0.2110622,1.3865443298750981,-1.7594746,2,2,2,1,0,,0,0
tiger,8.281227,12.095497,0.58249664,1.9460529959950605,-2.3713615,2,3,3,1,0,0.0,1,0
lion,8.663146,15.957723,1.1276553,1.09894556645823,-2.3541307,2,4,3,2,1,1.0,2,0
bear,9.4697275,14.451857,-0.5030153,0.0009995003330834232,-1.7315589,2,5,4,1,1,2.0,3,0
cheetah,6.6782866,13.444918,1.2123458,1.7919261220073759,-1.4692345,2,6,5,1,1,0.0,4,0
skunk,7.2660403,14.148722,-1.2435367,2.4849899796493045,-0.856025,2,7,6,1,0,1.0,5,0
raccoon,7.2334986,15.479865,-0.14996529,0.6936470556015963,-1.2633302,2,8,6,2,1,3.0,5,1
hamster,7.4689918,13.179538,0.8201952,2.4849899796493045,-1.2251843,2,9,7,1,1,2.0,6,0
elephant,8.278831,11.681915,0.5827914,1.09894556645823,-1.3426462,2,10,8,1,0,0.0,7,0
hippopotamus,6.933396,14.593483,1.1898401,0.6936470556015963,-1.7344351,2,11,8,2,1,0.0,8,0
