pid,response,RT
291,crow,4
291,pony,10
291,chinchilla,9
291,worm,9
291,beetle,2
291,cockroach,2
291,starfish,10
291,shark,1
291,whale,3
291,gorilla,6
291,monkey,3
291,penguin,6
291,coral,12
291,eagle,6
291,lizard,7
291,spider,6
291,bunny,20
292,dog,2
292,cat,1
292,lion,4
292,tiger,3
292,bear,1
292,monkey,4
292,panda,3
292,cheetah,3
292,jaguar,2
292,horse,2
292,coyote,3
292,bird,8
292,koala,3
292,flamingo,7
292,giraffe,9
292,elephant,3
292,emu,6
292,rhino,29
292,ostrich,26
292,yak,6
292,goat,2
292,lamb,4
292,sheep,1
292,cow,2
292,pig,4
292,llama,4
292,rabbit,16
292,skunk,4
292,anteater,4
292,alligator,6
292,crocodile,6
293,dog,3
293,cat,1
293,moose,2
293,buffalo,2
293,giraffe,3
293,monkey,6
293,lion,2
293,tiger,1
293,bear,3
293,labradorretriever,9
293,puggle,6
293,fish,17
293,salmon,5
293,whale,2
293,beluga,6
293,killerwhale,4
293,shark,2
293,turtle,3
293,coral,7
293,jellyfish,6
293,snake,8
293,cheetah,16
293,jaguar,3
293,spider,5
293,human,8
293,guineapig,29
293,hamster,3
293,betta,15
294,giraffe,4
294,lion,2
294,tiger,2
294,panther,2
294,bobcat,9
294,lynx,3
294,jaguar,10
294,bear,5
294,polarbear,4
294,moose,4
294,deer,3
294,elk,2
294,ram,5
294,eagle,4
294,hawk,7
294,cardinal,5
294,panda,3
294,squirrel,6
294,chipmunk,3
294,owl,3
294,fish,2
294,otter,8
294,seal,2
294,whale,2
294,dolphin,6
294,koala,3
294,kangaroo,3
294,fox,10
294,raccoon,4
294,bat,9
294,chimpanzee,7
294,ape,2
294,monkey,5
294,spidermonkey,4
294,baboon,5
294,snake,6
294,crocodile,8
294,alligator,3
294,komododragon,14
295,bear,3
295,giraffe,2
295,horse,2
295,kangaroo,4
295,snake,2
295,lion,1
295,tiger,2
295,parakeet,2
295,penguin,2
295,parrot,6
